subj,metric,time_ms,beta_uV
s15,G,-180.0,-0.08276192877949391
s15,G,-160.0,0.04808562733456351
s15,G,-140.0,0.019518546938326747
s15,G,-120.0,-0.12989322395054323
s15,G,-100.0,-0.12796669988276485
s15,G,-80.0,0.0587648126641041
s15,G,-60.0,0.24206421904110392
s15,G,-40.0,0.051781847611650306
s15,G,-20.0,-0.058943523710446505
s15,G,0.0,0.13724654132773198
s15,A,-200.0,-0.15630593586755998
s15,A,-180.0,-0.20424787398523953
s15,A,-160.0,0.19096448025669838
s15,A,-140.0,0.3185338474012795
s15,A,-120.0,0.29176394340392003
s15,A,-100.0,0.10250292845965177
s15,A,-80.0,0.15797173250969937
s15,A,-60.0,-0.11862575147385122
s15,A,-40.0,-0.3235541917432836
s15,A,-20.0,-0.21556782464285457
s15,A,0.0,-0.029486052165771742
s15,I,-200.0,0.13720045972942851
s15,I,-180.0,0.1376110176219001
s15,I,-160.0,-0.2807126200298131
s15,I,-140.0,-0.43191522607764693
s15,I,-120.0,-0.2447524422867186
s15,I,-100.0,0.11151496597813837
s15,I,-80.0,-0.31359625902026533
s15,I,-60.0,0.019907830319130602
s15,I,-40.0,0.40750244604957153
s15,I,-20.0,0.2931787692225098
s15,I,0.0,0.24949444901359694
s16,G,-200.0,0.14670145787068492
s16,G,-180.0,0.21403821029513675
s16,G,-160.0,0.09235413311284874
s16,G,-140.0,0.0755121664164293
s16,G,-120.0,-0.09423781105157972
s16,G,-100.0,-0.06030586689579037
s16,G,-80.0,-0.006303496303146562
s16,G,-60.0,-0.13247712125898772
s16,G,-40.0,-0.1349717655015655
s16,G,-20.0,-0.10166996091397874
s16,G,0.0,0.03797683091231224
s16,A,-200.0,0.010570379682630568
s16,A,-180.0,0.008787140385007816
s16,A,-160.0,-0.07710468916263502
s16,A,-140.0,-0.21457910610542127
s16,A,-120.0,-0.11901101465811541
s16,A,-100.0,0.058673515460582734
s16,A,-80.0,-0.0035619118934285335
s16,A,-60.0,0.026921964385982614
s16,A,-40.0,0.04911972087197322
s16,A,-20.0,0.1557108047092561
s16,A,0.0,0.19849269198073857
s16,I,-200.0,0.06665650354294196
s16,I,-180.0,0.12548120925568135
s16,I,-160.0,0.2826923963425488
s16,I,-140.0,0.44058531177696303
s16,I,-120.0,0.2878019337433951
s16,I,-100.0,-0.08012052869338206
s16,I,-80.0,-0.17635787398851216
s16,I,-60.0,-0.1029422970530168
s16,I,-40.0,-0.1456235420418459
s16,I,-20.0,-0.39863046152286674
s16,I,0.0,-0.558966537959823
s17,G,-200.0,0.025300996859720745
s17,G,-180.0,-0.033088612725362024
s17,G,-160.0,-0.19308246796585302
s17,G,-140.0,-0.19844232642579449
s17,G,-120.0,-0.15909404287863937
s17,G,-100.0,-0.1856390277337276
s17,G,-80.0,0.04137103775175896
s17,G,-60.0,0.07533651550364924
s17,G,-40.0,0.2026234413272054
s17,G,-20.0,0.28539337682425114
s17,G,0.0,0.1644818639448188
s17,A,-200.0,0.034072129329141276
s17,A,-180.0,0.09717096129402222
s17,A,-160.0,0.17619656176617288
s17,A,-140.0,-0.025289714965844617
s17,A,-120.0,-0.12473987626160418
s17,A,-100.0,-0.10384877612112542
s17,A,-80.0,-0.17482843413451973
s17,A,-60.0,0.04411732296363909
s17,A,-40.0,0.04741811992892487
s17,A,-20.0,0.0051251381796166215
s17,A,0.0,0.09920617531686476
s17,I,-200.0,0.016228971972319508
s17,I,-180.0,0.04082433829693296
s17,I,-160.0,0.0385761979602947
s17,I,-140.0,0.21357767592690968
s17,I,-120.0,0.14418119208074437
s17,I,-100.0,-0.03423718115215619
s17,I,-80.0,0.009912531673595959
s17,I,-60.0,-0.025162686411132944
s17,I,-40.0,-0.08023545013759602
s17,I,-20.0,-0.1692068018816642
s17,I,0.0,-0.20492513366698062
s18,G,-200.0,-0.03742209642787139
s18,G,-180.0,-0.10728721141531085
s18,G,-160.0,-0.10853439099674464
s18,G,-140.0,0.004933618071133722
s18,G,-120.0,0.12360054872408706
s18,G,-100.0,0.11947057125556691
s18,G,-80.0,0.019017395198646203
s18,G,-60.0,-0.05573363802583238
s18,G,-40.0,0.030824472327494898
s18,G,-20.0,0.02937274816492847
s18,G,0.0,-0.022814449180393874
s18,A,-200.0,0.013640023192421562
s18,A,-180.0,-0.009618708656518898
s18,A,-160.0,-0.057267328251449486
s18,A,-140.0,-0.05384560976325669
s18,A,-120.0,-0.029778208476913502
s18,A,-100.0,-0.02261598990438927
s18,A,-80.0,-0.0407361027260739
s18,A,-60.0,-0.004508618117053483
s18,A,-40.0,-0.005585748461883593
s18,A,-20.0,0.11722331670707963
s18,A,0.0,0.13230487994024226
s18,I,-200.0,0.09251047146121177
s18,I,-180.0,0.17666617123140738
s18,I,-160.0,0.19086584927610942
s18,I,-140.0,0.12616110226596036
s18,I,-120.0,-0.047818559616755164
s18,I,-100.0,-0.13990221846959636
s18,I,-80.0,-0.07017901883868627
s18,I,-60.0,-0.026518660743464813
s18,I,-40.0,-0.0476637752752188
s18,I,-20.0,-0.14602512706665513
s18,I,0.0,-0.1683352600814006
s19,G,-200.0,-0.011684049092980694
s19,G,-180.0,0.019388827222637427
s19,G,-160.0,0.022543260169448645
s19,G,-140.0,0.040450320193779005
s19,G,-120.0,0.09694708951264888
s19,G,-100.0,0.07472971319393272
s19,G,-80.0,-0.07929917474483592
s19,G,-60.0,-0.059089029855318394
s19,G,-40.0,-0.08630104545124564
s19,G,-20.0,-0.017951029724226523
s19,G,0.0,0.036449099619946676
s19,A,-200.0,0.04801484304894386
s19,A,-180.0,-0.04309992648312039
s19,A,-160.0,-0.08891089041901075
s19,A,-140.0,0.13342153846540625
s19,A,-120.0,0.1014952909333073
s19,A,-100.0,-0.06406023911520875
s19,A,-80.0,-0.05381957559931526
s19,A,-60.0,-0.0322082070081101
s19,A,-40.0,-0.019089471916461896
s19,A,-20.0,0.018595921816414646
s19,A,0.0,-0.030562958637061082
s19,I,-200.0,-0.02348585183505631
s19,I,-180.0,-0.16400228245269757
s19,I,-160.0,-0.09128977029512174
s19,I,-140.0,0.02386664285199603
s19,I,-120.0,0.05450230494439548
s19,I,-100.0,0.16789331279987957
s19,I,-80.0,0.12713101689695402
s19,I,-60.0,0.055134843906066044
s19,I,-40.0,0.10025701457749848
s19,I,-20.0,-0.1771704052489318
s19,I,0.0,-0.1067449994481603
s20,G,-200.0,-0.009246244308917809
s20,G,-180.0,-0.03001282768612651
s20,G,-160.0,-0.024072862160990194
s20,G,-140.0,0.08301365948077119
s20,G,-120.0,0.06284923574062538
s20,G,-100.0,0.04568677553461724
s20,G,-80.0,-0.038455362538898606
s20,G,-60.0,-0.12867594856987347
s20,G,-40.0,0.0508478004060927
s20,G,-20.0,0.011618214898075754
s20,G,0.0,-0.07748993092803791
s20,A,-200.0,-0.15071177699618263
s20,A,-180.0,-0.2734558139353884
s20,A,-160.0,-0.04245118822888705
s20,A,-140.0,0.0033383360229936737
s20,A,-120.0,-0.18618690178258462
s20,A,-100.0,-0.16196892191008536
s20,A,-80.0,0.12595611754490602
s20,A,-60.0,0.26161353959214334
s20,A,-40.0,0.31797605800385875
s20,A,-20.0,0.08130536967656454
s20,A,0.0,0.10617499565773157
s20,I,-200.0,0.28458897370998804
s20,I,-180.0,0.3129233750513536
s20,I,-160.0,-0.06937297983450544
s20,I,-140.0,-0.051048666541880144
s20,I,-120.0,0.08321807979819262
s20,I,-100.0,-0.05946470627133724
s20,I,-80.0,-0.2298138796327389
s20,I,-60.0,-0.21936302059382468
s20,I,-40.0,0.02200956842489625
s20,I,-20.0,0.006988211599614512
s20,I,0.0,-0.032390475414525804
s21,G,-200.0,-0.21605022145995006
s21,G,-180.0,-0.31549064623082956
s21,G,-160.0,0.1300266223181286
s21,G,-140.0,-0.20126390660238833
s21,G,-120.0,0.01367493698835702
s21,G,-100.0,0.17742392034362686
s21,G,-80.0,0.09369320737665447
s21,G,-60.0,0.010025560390579533
s21,G,-40.0,0.11801084625663152
s21,G,-20.0,0.10663938366155369
s21,G,0.0,0.10880861584049961
s21,A,-200.0,0.20443864440111925
s21,A,-180.0,0.22870121572471042
s21,A,-160.0,-0.012393581277361027
s21,A,-140.0,0.2490032281858346
s21,A,-120.0,0.09351254302775905
s21,A,-100.0,-0.4113138771670685
s21,A,-80.0,-0.4392906505977297
s21,A,-60.0,-0.11632968469835184
s21,A,-40.0,0.10877565789833406
s21,A,-20.0,0.08256785918378133
s21,A,0.0,0.020558191130067655
s21,I,-200.0,-0.323893696451927
s21,I,-180.0,-0.23791928475830612
s21,I,-160.0,-0.04132858160978576
s21,I,-140.0,0.010940831635352385
s21,I,-120.0,0.22724342172509893
s21,I,-100.0,0.4911177632065897
s21,I,-80.0,0.40686833156410473
s21,I,-60.0,-0.2377111915942968
s21,I,-40.0,-0.16991414081086884
s21,I,-20.0,-0.1101745518249257
s21,I,0.0,-0.0037622156575558077
s22,G,-200.0,0.0846413893623157
s22,G,-180.0,0.1554479857843188
s22,G,-160.0,0.18506481688387555
s22,G,-140.0,0.06956801410084228
s22,G,-120.0,-0.10473917397636633
s22,G,-100.0,-0.22725890240475352
s22,G,-80.0,-0.14359841086893227
s22,G,-60.0,0.0509067020948791
s22,G,-40.0,-0.02762982662494426
s22,G,-20.0,-0.05133858772424628
s22,G,0.0,0.01021720000132914
s22,A,-200.0,-0.08409371382708394
s22,A,-180.0,-0.08446744467488387
s22,A,-160.0,0.16277157174044957
s22,A,-140.0,0.251690042246422
s22,A,-120.0,0.032843902400322485
s22,A,-100.0,-0.03497040125222982
s22,A,-80.0,0.004088192418487452
s22,A,-60.0,-0.1519565685124462
s22,A,-40.0,-0.11424826769141187
s22,A,-20.0,0.016250556340769613
s22,A,0.0,-0.02991471417408577
s22,I,-200.0,0.057909574859245236
s22,I,-180.0,0.11708884742833052
s22,I,-160.0,0.008291487428914732
s22,I,-140.0,-0.03636726842174839
s22,I,-120.0,0.15140789206132926
s22,I,-100.0,0.06606459047009484
s22,I,-80.0,-0.17333200307878502
s22,I,-60.0,0.07801796108852284
s22,I,-40.0,-0.08503240855464786
s22,I,-20.0,-0.14044630452100187
s22,I,0.0,-0.0072443803312680025
s23,G,-200.0,0.02197808074157974
s23,G,-180.0,-0.05000228193953041
s23,G,-160.0,-0.16169281461192506
s23,G,-140.0,-0.04937300927375057
s23,G,-120.0,-0.06154307149712579
s23,G,-100.0,0.03830351485306517
s23,G,-80.0,0.2027835660332099
s23,G,-60.0,0.2178413805243476
s23,G,-40.0,-0.008924157925827887
s23,G,-20.0,-0.11688072004012337
s23,G,0.0,-0.10763442649793564
s23,A,-200.0,-0.07425253665157044
s23,A,-180.0,-0.0942529490430315
s23,A,-160.0,-0.017441818352991842
s23,A,-140.0,0.016788034522309876
s23,A,-120.0,0.0577048629412327
s23,A,-100.0,-0.021282639235333554
s23,A,-80.0,-0.1534100639090064
