held_out_identity,subj,metric,time_ms,beta_uV
F_2,s10,A,960.0,-0.21847078014430077
F_2,s10,A,980.0,-0.2573401052754595
F_2,s10,I,0.0,0.0032677885666849427
F_2,s10,I,20.0,-0.02312806924144467
F_2,s10,I,40.0,0.2435537451221239
F_2,s10,I,60.0,0.21659774421195938
F_2,s10,I,80.0,-0.04753787059972517
F_2,s10,I,100.0,-0.14843543060818998
F_2,s10,I,120.0,0.02457817646154875
F_2,s10,I,140.0,0.2252061855212434
F_2,s10,I,160.0,0.23961643097019725
F_2,s10,I,180.0,0.0634074690203813
F_2,s10,I,200.0,0.05769496906829877
F_2,s10,I,220.0,0.2098938959357195
F_2,s10,I,240.0,0.35413985553962074
F_2,s10,I,260.0,0.3351693295199099
F_2,s10,I,280.0,0.42436256338274386
F_2,s10,I,300.0,0.346161891304155
F_2,s10,I,320.0,0.05994576756669248
F_2,s10,I,340.0,0.4574682550934809
F_2,s10,I,360.0,0.6155631589356917
F_2,s10,I,380.0,0.4240952046959582
F_2,s10,I,400.0,0.3729080455548194
F_2,s10,I,420.0,1.0559165336498701
F_2,s10,I,440.0,0.8224140653812081
F_2,s10,I,460.0,0.10608690465094811
F_2,s10,I,480.0,0.37443785136211843
F_2,s10,I,500.0,0.9165356890296092
F_2,s10,I,520.0,0.620826749550554
F_2,s10,I,540.0,0.35059894037221395
F_2,s10,I,560.0,0.6359790816193697
F_2,s10,I,580.0,0.3635430508219324
F_2,s10,I,600.0,0.2630101135117852
F_2,s10,I,620.0,0.5857154837960088
F_2,s10,I,640.0,0.486082661331628
F_2,s10,I,660.0,0.24315359439819925
F_2,s10,I,680.0,0.18572147857708762
F_2,s10,I,700.0,0.3628671925835332
F_2,s10,I,720.0,0.2878406514277504
F_2,s10,I,740.0,0.17351031052041155
F_2,s10,I,760.0,0.11659059881049759
F_2,s10,I,780.0,0.05231462075281301
F_2,s10,I,800.0,0.19077808789265197
F_2,s10,I,820.0,0.5647126856541294
F_2,s10,I,840.0,0.7570033873665969
F_2,s10,I,860.0,0.7930341225531348
F_2,s10,I,880.0,0.31576672527390887
F_2,s10,I,900.0,0.17282099902223588
F_2,s10,I,920.0,0.4902039420937069
F_2,s10,I,940.0,0.48554649741654377
F_2,s10,I,960.0,0.48814559038820726
F_2,s10,I,980.0,0.3262594749731941
M_1,s10,G,0.0,0.011407938817741783
M_1,s10,G,20.0,-0.09190023292209461
M_1,s10,G,40.0,-0.175599560900889
M_1,s10,G,60.0,-0.09276114297408158
M_1,s10,G,80.0,-0.06398482588914065
M_1,s10,G,100.0,-0.11335583412970315
M_1,s10,G,120.0,-0.06618287762517862
M_1,s10,G,140.0,-0.14472798477444537
M_1,s10,G,160.0,-0.29187707544934427
M_1,s10,G,180.0,-0.32731741123169183
M_1,s10,G,200.0,-0.17199118396321866
M_1,s10,G,220.0,0.05295435151414658
M_1,s10,G,240.0,-0.13952565411773415
M_1,s10,G,260.0,-0.3026867500028897
M_1,s10,G,280.0,-0.13450097372467895
M_1,s10,G,300.0,-0.17012605871876604
M_1,s10,G,320.0,-0.1227271086127473
M_1,s10,G,340.0,0.07242587043252391
M_1,s10,G,360.0,0.4127671014184014
M_1,s10,G,380.0,-0.11608284008183994
M_1,s10,G,400.0,-0.3469254402749585
M_1,s10,G,420.0,0.29873371181401037
M_1,s10,G,440.0,0.21349139120059601
M_1,s10,G,460.0,-0.3788899604599023
M_1,s10,G,480.0,-0.15305050079699245
M_1,s10,G,500.0,0.47240774128844576
M_1,s10,G,520.0,0.001048984386834123
M_1,s10,G,540.0,-0.34381893580250367
M_1,s10,G,560.0,0.1578201196865162
M_1,s10,G,580.0,0.46605656006219043
M_1,s10,G,600.0,-0.040336641574603704
M_1,s10,G,620.0,-0.43665692751481877
M_1,s10,G,640.0,0.0020725101107435945
M_1,s10,G,660.0,0.25553943596175827
M_1,s10,G,680.0,0.09659034061407405
M_1,s10,G,700.0,0.07044997657428384
M_1,s10,G,720.0,0.26477019661746914
M_1,s10,G,740.0,0.2140596544293849
M_1,s10,G,760.0,0.07462106328796114
M_1,s10,G,780.0,-0.061729737434739446
M_1,s10,G,800.0,-0.09616498907452833
M_1,s10,G,820.0,-0.10945683142515568
M_1,s10,G,840.0,-0.1355197204783702
M_1,s10,G,860.0,-0.24659662952828174
M_1,s10,G,880.0,-0.247717805881078
M_1,s10,G,900.0,-0.1884310440190322
M_1,s10,G,920.0,-0.33556396595755905
M_1,s10,G,940.0,-0.4050390769392328
M_1,s10,G,960.0,-0.3842224338272555
M_1,s10,G,980.0,-0.2587401898628794
M_1,s10,A,0.0,-0.011117128665625801
M_1,s10,A,20.0,0.019778016500310913
M_1,s10,A,40.0,0.052467235463670076
M_1,s10,A,60.0,0.0888021805452104
M_1,s10,A,80.0,0.13652224100781157
M_1,s10,A,100.0,0.06627087824951512
M_1,s10,A,120.0,-0.07798913713640591
M_1,s10,A,140.0,-0.05229212634047621
M_1,s10,A,160.0,0.02927726693858865
M_1,s10,A,180.0,0.06277430235884346
M_1,s10,A,200.0,0.01687301062367813
M_1,s10,A,220.0,0.1231306090903723
M_1,s10,A,240.0,0.19253324328456783
M_1,s10,A,260.0,0.1528146035556385
M_1,s10,A,280.0,0.09628536137539863
M_1,s10,A,300.0,0.029033736660137498
M_1,s10,A,320.0,0.01322445702148696
M_1,s10,A,340.0,-0.41443308138171575
M_1,s10,A,360.0,-0.3084950113300722
M_1,s10,A,380.0,-0.0861030534214279
M_1,s10,A,400.0,-0.3365370533347855
M_1,s10,A,420.0,-0.6400235149400044
M_1,s10,A,440.0,-0.37289646615916594
M_1,s10,A,460.0,-0.15638023850146565
M_1,s10,A,480.0,-0.4293154294823493
M_1,s10,A,500.0,-0.36908622259708157
M_1,s10,A,520.0,0.16200276291851196
M_1,s10,A,540.0,-0.06559085426202256
M_1,s10,A,560.0,-0.3910450533894265
M_1,s10,A,580.0,-0.07734360317848998
M_1,s10,A,600.0,0.3166149107518229
M_1,s10,A,620.0,0.4455668282720972
M_1,s10,A,640.0,-0.12138788853794721
M_1,s10,A,660.0,-0.27854331586596004
M_1,s10,A,680.0,0.038911618463889526
M_1,s10,A,700.0,0.1585852047254712
M_1,s10,A,720.0,0.07655987367604211
M_1,s10,A,740.0,-0.11686800503522082
M_1,s10,A,760.0,-0.15555306344974493
M_1,s10,A,780.0,-0.056529693479492604
M_1,s10,A,800.0,-0.1366873067160505
M_1,s10,A,820.0,-0.3482151623915152
M_1,s10,A,840.0,-0.3952444312548232
M_1,s10,A,860.0,-0.3596580865479532
M_1,s10,A,880.0,-0.28131103282705294
M_1,s10,A,900.0,-0.4057342419822446
M_1,s10,A,920.0,-0.36891530531934513
M_1,s10,A,940.0,-0.09434354110076254
M_1,s10,A,960.0,-0.12104102520477932
M_1,s10,A,980.0,-0.15497172973162593
M_1,s10,I,0.0,-0.10709289112131745
M_1,s10,I,20.0,-0.15563227083423978
M_1,s10,I,40.0,0.07936015351379627
M_1,s10,I,60.0,0.07476496904128481
M_1,s10,I,80.0,-0.15227341196613836
M_1,s10,I,100.0,-0.18972706635905995
M_1,s10,I,120.0,-0.043084235301074136
M_1,s10,I,140.0,0.14948881645709042
M_1,s10,I,160.0,0.19457340312028223
M_1,s10,I,180.0,0.03659423638310521
M_1,s10,I,200.0,-0.05380953512537401
M_1,s10,I,220.0,0.08010252476731346
M_1,s10,I,240.0,0.24125457634122288
M_1,s10,I,260.0,0.3250730353485476
M_1,s10,I,280.0,0.2967008436611503
M_1,s10,I,300.0,0.25298934065820905
M_1,s10,I,320.0,-0.014641127245695051
