contrast,time_ms,mean_beta_uV,sem_beta_uV,ci95_low,ci95_high,t,p_uncorrected,cohen_dz,n_subjects,p_fdr
Structural,860.0,0.05498918656424896,0.04826684657455591,-0.04404620217169675,0.15402457530019467,1.1392744806584645,0.2645957929153745,0.21530263934746874,28,0.6614894822884362
Structural,880.0,0.09670578258466324,0.05480482026958777,-0.015744420094694206,0.20915598526402068,1.7645488500639623,0.08895133327464258,0.3334683881067317,28,0.4119135703931816
Structural,900.0,0.09239705935305431,0.050887622592681585,-0.012015717593741343,0.19680983629984997,1.8157079196374641,0.08053707630349505,0.3431365434922272,28,0.4119135703931816
Structural,920.0,0.11167898827680274,0.04541919008659746,0.01848650802330326,0.20487146853030222,2.458850280330243,0.020635770277515397,0.4646790252068054,28,0.1719647523126283
Structural,940.0,0.12666114442735155,0.044001974905899584,0.036376549530027086,0.216945739324676,2.878533172618336,0.00772167274262542,0.5439916368141342,28,0.12869454571042369
Structural,960.0,0.1478342758444214,0.046609882471443945,0.052198696619953217,0.2434698550688896,3.171736722035154,0.0037559540524145126,0.5994018993340154,28,0.09389885131036281
Structural,980.0,0.15656509909704638,0.047842295804061866,0.05840081658779557,0.2547293816062972,3.2725247914159215,0.0029162344560601577,0.618449054098575,28,0.09389885131036281
Surface,0.0,-0.04699451706259661,0.030635012881141434,-0.1098523713648892,0.01586333723969599,-1.5340132953404404,0.1366621055968695,-0.2899012633812488,28,0.3105956945383398
Surface,20.0,-0.008699086502426564,0.041796758022074915,-0.09445895010206201,0.07706077709720888,-0.20812825956099634,0.836690850006704,-0.039332543971649814,28,0.8715529687569833
Surface,40.0,0.016615054323500626,0.0397994415257657,-0.0650466543379381,0.09827676298493934,0.417469534409025,0.679636115584209,0.07889432628515732,28,0.8288245312002548
Surface,60.0,0.030149978939611053,0.03936353306684698,-0.050617319443426345,0.11091727732264844,0.7659368097983098,0.45035852388560427,0.14474845133689343,28,0.6494267552940086
Surface,80.0,0.050923522898103715,0.04426608636892011,-0.03990298395879853,0.14175002975500595,1.1503958690564948,0.2600681199325068,0.217404384199965,28,0.4212808773390125
Surface,100.0,0.03375006451569355,0.04580511682215926,-0.06023427199095726,0.12773440102234435,0.7368186538357696,0.4675872638116862,0.13924563710020244,28,0.6494267552940086
Surface,120.0,-0.030786417313950314,0.04753723816733327,-0.12832477325487604,0.0667519386269754,-0.6476273864623919,0.5226951385564242,-0.12239007191530055,28,0.7063447818330058
Surface,140.0,-0.08577443022256404,0.051785430580031114,-0.1920293569957432,0.020480496550615124,-1.6563428991867717,0.10923008409357271,-0.3130193855068519,28,0.2936222240823301
Surface,160.0,-0.10300920008422658,0.06084202844983675,-0.22784673074216327,0.021828330573710128,-1.6930599243441722,0.10195311608696075,-0.3199582510388936,28,0.2936222240823301
