identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,G_new_raw,G_new,G_raw,G,difference_z,mean_z
M_1,M_1_ (2).jpg,2,0,0,0,0,0.006870512302383762,0.0,0.01711632992203644,0.004115719287498607,0.0,0.13209109730848878,0.004154682007031063,0.5532631978467848,-0.9579444141136829,0.4842023134784937,-1.5329256790047487,0.5749812648910658,-1.2454350465592159
M_1,M_1_ (3).jpg,3,0,0,0,1,0.007154494886215073,0.005412658773652742,0.014986973510352247,0.0037989298784393806,0.012500000000000178,0.11780538302277455,0.006085842408712461,0.68429934617026,-0.5483686292111724,0.4686923328268974,-1.593828555038739,1.0454599258275667,-1.0710985921249556
M_1,M_1_ (4).jpg,4,1,0,0,0,0.018235941674935086,0.009375,0.03479852726768763,0.021782527002365864,0.09876543209876543,0.08219770711659136,0.01382488479262678,1.4862055629055764,1.9581257415389592,1.1340700467393054,1.0189030360878202,0.9392227054511391,1.4885143888133898
M_1,M_1_ (5).jpg,5,1,0,0,1,0.018021161144030032,0.009375,0.036309218870694535,0.02098776693177285,0.09876543209876543,0.11402387041773254,0.011822660098522175,1.493936518075854,1.982290157789168,1.0759663422870531,0.7907478379053559,1.1915423198838122,1.3865189978472618
M_1,M_1_ (6).jpg,6,0,0,1,0,0.009011565601706514,0.005412658773652742,0.013258252147247764,0.005272278529027374,0.012500000000000178,0.05797101449275344,0.004464285714285698,0.580389099602215,-0.8731577911488325,0.6175732474380046,-1.0092194513868809,0.13606166023804833,-0.9411886212678566
M_1,M_1_ (7).jpg,7,0,0,1,1,0.006760162514701129,0.005412658773652742,0.009882117688026186,0.004091218150928158,0.012500000000000178,0.05797101449275344,0.004464285714285698,0.5153159921324344,-1.076554864467768,0.4404488424699866,-1.70473196817724,0.6281771037094719,-1.3906434163225039
M_1,M_1_ (8).jpg,8,1,0,1,0,0.01357086486990089,0.009882117688026186,0.01795175827043134,0.021036924747493295,0.14634146341463428,0.01449275362318847,0.002948885976408966,1.0445521080702207,0.5776626957803896,0.9043632855264032,0.1169159403863835,0.4607467553940061,0.3472893180833866
M_1,M_1_ (9).jpg,9,1,0,1,1,0.013002054644232586,0.005412658773652742,0.02096313728906053,0.020219763740564334,0.07407407407407396,0.0036231884057968955,0.007536041939711691,0.9255091532883932,0.2055736786221664,0.8206998239339944,-0.2116044842611213,0.4171781628832877,-0.0030154028194774446
M_2,M_2_ (10).jpg,10,0,1,0,0,0.008397146180669236,0.008811114182673302,0.011375099497008559,0.0038852799960001584,0.1593541593541592,0.061538461538461764,0.0025445292620865922,0.8139750769937907,-0.14304506075781606,0.5701928120408858,-1.1952677030415486,1.0522226422837326,-0.6691563818996823
M_2,M_2_ (11).jpg,11,0,1,0,1,0.008097613206393224,0.007194244604316547,0.011375099497008559,0.004304017677252857,0.12517780938833534,0.061538461538461764,0.0,0.6729275790868317,-0.5839130227889351,0.6169818764205471,-1.011541581670299,0.427628558881364,-0.7977273022296171
